"i","Receiver","From","Justification","Gift","Disposition","Value_USD","Date","country"
"1613","President George Bush","Her Majesty Queen Elizabeth, and His Royal Highness The Prince Phillip, Duke Edinburgh. ent","Non-acceptance would cause embarrassment to donor and U.S. Government.","Miscellaneous: 131⁄4″ sterling silver ruler engraved ‘‘Presented by the Queen and The Duke of Edinburgh, To Presid George W. Bush on the occasion of his State Visit, November 2003,’’ with the Presidential Seal and the Royal Cypher on the front and the names of the 43 Presidents of the United States with the Presidential Seal on the back, made by Richard O.A. Jarvis",".","450","2003-11-18","United Kingdom of Great Britain and Northern Ireland"
"1614","President George Bush","Embassy of the Republic of Mauritius.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Miscellaneous: 291⁄2″ 24″ wooden replica of the ‘‘Protecteur,’’ the sixty-four gun ship that launched for the United States in 1770, made by Gaetan de Chazal and Phillip Berrill",".","550","2003-12-12","Mauritius"
"1615","President George Bush","His Majesty, Sultan Haji Hassanal Bolkiah Mu’izzadd Waddaulah, Sultan and Yang Di-Pertuan of Brun Darussalam.","Non-acceptance would cause emin barrassment to donor and U.S. Government. ei,","Consumables; assortment of edible items and two bottles of wine",".","100","2003-12-30","Brunei"
"1616","First Lady Laura Bush","The Right Honorable Tony Blair, M.P. United Kingdom.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Accessory: 61⁄4″ black silk Emily Jo Gibb evening bag with grey floral design and silver-tone handles",".","400","2003-01-24","United Kingdom of Great Britain and Northern Ireland"
"1617","First Lady Laura Bush","Excellency The President of Mongolia and Mrs. Oyunbileg.","Non-acceptance would cause emA. barrassment to donor and U.S. Government.","Flowers: dried Mongolian edelHis weiss flowers mounted under glass and held in 6″ 81⁄4″ blue wooden frame",".","20","2003-03-19","Mongolia"
"1618","First Lady Laura Bush","he Honorable Chantal Biya, First ion, Lady of the Republic of Cameroon. ca","Non-acceptance would cause embarrassment to donor and U.S. Government.","Miscellaneous items from donor’s charitable organizat Fondation Chantal Biya (5): two 2003 wall calendars, 2003 date book with gilt-edged pages, 3″ silver-tone key chain, and 21⁄4″ silver-tone brooch with the outline of Afri beneath red AIDS ribbon","n","100","2003-03-31","Cameroon"
"1619","First Lady Laura Bush","Her Excellency Gloria Macapagalw Arroyo, President of the Repub lic of the Philippines and Mr. Jose Miguel Arroyo.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Jewelry: pair of 14mm South Sea pearl earrings set in 18K yello gold, accompanied by wooden stand and 12″ 19″ framed explanatory certificate",".","250","2003-05-19","Philippines"
"1620","First Lady Laura Bush","His Excellency, Junichiro Koizumi Prime Minister of Japan.",", Non-acceptance would cause embarrassment to donor and U.S. Government.","Box: 10″ 5″ 7″ black lacquer jewelry box with pink and gold floral design",".","288","2003-05-22","Japan"
"1621","First Lady Laura Bush","His Excellency, The President of the Russian Federation and Mrs. Putina.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Miscellaneous item: 61⁄2″ painted wooden egg celebrating the 300th anniversary of St. Peters burg and containing creamcolored 14″ round crocheted doily and 68″ 28″ matching table runner",".","200","2003-05-28","Russia"
"1622","First Lady Laura Bush","His Royal Highness, Abdallah bin Abd al-Aziz Al Saud Crown Prince, First Deputy Prime Min ister and Commander of the National Guard of Saudi Arabia","Non-acceptance would cause embarrassment to donor and U.S. Government. .","Jewelry: matched set of diamond and sapphire jewelry, including earrings, bracelet, ring and necklace; held in green leather presentation case",".","95500","2003-06-03","United Arab Emirates"
"1623","First Lady Laura Bush","His Excellency, Thaks Shinawatra, Prime Minister of the Kingdom of Thailand.","in Non-acceptance would cause embarrassment to donor and U.S. Government.","Accessory: 3⁄4″ sterling silver handbag with floral motif; held in red silk presentation case",".","150","2003-06-10","Thailand"
"1624","First Lady Laura Bush","Mrs. Sehba Musharraf, First Lady of the Islamic Republic of Pakistan.","Non-acceptance would cause emibarrassment to donor and U.S. Government.","Jewelry: 15″ necklace and 13⁄4 earrings made of peridot and amethyst set in 22K gold",".","650","2003-06-24","Pakistan"
"1625","First Lady Laura Bush","Mrs. Aleksandra Miller, Office of the Prime Minister of the Republic of Poland. 26,","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household accessory: 16″ purple and green crystal vase in contemporary design by Adam Jablonski",".","365","2003-06-01","Poland"
"1626","First Lady Laura Bush","His Excellency, The President of the Republic of Senegal and Mrs. Wade. 8,","Non-acceptance would cause embarrassment to donor and U.S. Government.","Table linens: white linen napkins with fruit embroidered in one corner and matching placemats with more elaborate embroidery",".","120","2003-07-01","Senegal"
"1627","First Lady Laura Bush","Mrs. Viviane Wade, Office of the President of the Republic of Senegal.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Artwork: 201⁄2″ ceramic fertility statue of pregnant woman; held in brown tooled leather presentation case",".","425","2003-07-08","Senegal"
"1628","First Lady Laura Bush","Mrs. Barbara Mogae, Office of the President of the Republic of Botswana.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Home accessory: 41″ 60″ mohair wall hanging depicting vil lage scene with children; with fringed end and loops for hanging",".","225","2003-07-10","Botswana"
"1629","First Lady Laura Bush","The Honorable and Mrs. Franklin M. Drilon, Office of the Senat President, Republic of the Philippines.","Non-acceptance would cause eme, barrassment to donor and U.S. lGovernment.","Housewares (3): rectangular nesting dishes (121⁄4″ 63⁄4″, 93⁄4″ 43⁄4″, and 8″ &times 4&Prime;) made of blocks of mother-ofpearl",".","200","2003-07-11","Philippines"
"1630","First Lady Laura Bush","Mrs. Stella Obassanjo, First Lady of the Federal Republic of Nigeria.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Home accessories: 88″ 90″ yellow and blue bed spread with three matching 16″ 16″ pillow shams",".","350","2003-07-12","Niger"
"1631","First Lady Laura Bush","Mrs. Viktoria Spidlova, Office of the Prime Minister of the Czech Republic.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Bowl: 113⁄4″ handcut lead Bohemian crystal bowl",".","224","2003-07-15","Czech Republic"
"1632","First Lady Laura Bush","His Excellency Silvio Berlusconi, President of the Council of Ministers of the Italian Republic.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Jewelry: silver Damiani choker necklace with 3.12 carats of diamonds in three tiers",".","750","2003-07-21","Italy"
"1633","First Lady Laura Bush","First Lady Margot Klestil-Loeffler, Office of the President of the Republic of Austria.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household item: 71⁄2″ sterling sil ver dish with commemorative medallion embedded in center",".","350","2003-09-05","Austria"
"1634","First Lady Laura Bush","His Excellency Jacques Chirac, President of the French Republic.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Accessory: 52″ 52″ blue silk and cashmere Hermes scarf with scroll pattern",".","760","2003-09-29","France"
"1635","First Lady Laura Bush","Mrs. Bella Kocharyan, Office of the President of the Republic of Armenia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household item: 173⁄4″ double candlestick of blue glass set rough stone base; held in blue leather presentation case",".","350","2003-10-01","Armenia"
"1636","First Lady Laura Bush","nio Her Excellency Rosa Gomez de Mejia, First Lady of the Dominican Republic.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Hardcover book: ‘‘Patrimo Dominicano,’’ by Cesar Ivan Feris Iglesias; inscribed by donor",".","40","2003-10-15","Dominican Republic"
"1637","First Lady Laura Bush","His Excellency Junichiro Koizumi Prime Minister of Japan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Miscellaneous: 14″ 19″ retractable paper and bamboo Japanese fan with red and white origmai cranes, by matazo Kayama; held on 103⁄4″ 3″ wooden rest",".","300","2003-10-18","Japan"
"1638","First Lady Laura Bush","Mrs. Georgina P. de Venecia, Republic of the Philippines.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Jewelry (5): 20″ copper and pearl ‘‘tamborin’’ traditional Filipina costume necklace; 2″ copper and pearl dangle earringss; 3″ copper and pearl decorative comb; adjustable copper and pearl ring; and 8″ copper and pearl bracelet",".","100","2003-10-18","Philippines"
"1639","First Lady Laura Bush","Her Majesty Queen Sirikit of Thai land.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Miscellaneous: 3″ 4″ gold and silver neilloware apple-shaped box with diamond inlay; held on 3 1⁄2″ round black stand",".","350","2003-10-19","Thailand"
"1640","First Lady Laura Bush","Khunying Potjaman Shinawatra, Office of the Prime Minister the Kingdom of Thailand.","Non-acceptance would cause emf barrassment to donor and U.S. Government.","Accessory: 71⁄2″ 5 1⁄4″ gold and black neilloware shell-shaped evening bag",".","75","2003-10-20","Thailand"
"1641","First Lady Laura Bush","Mrs. Janette Howard, Australia 21,","Non-acceptance would cause embarrassment to donor and U.S. Government.","Accessory: 71⁄2″ 33⁄4″ Adori kangaroo and emu black leather wallet",".","70","2003-10-01","Australia"
"1642","First Lady Laura Bush","Her Excellency Megawa Soekarnoputri, President of th Republic of Indonesia.","ti Non-acceptance would cause eme barrassment to donor and U.S. Government.","Miscellaneous (3): 411⁄2″ 86″ and 35″ 82″ brown, khaki, olive and black cotton detailed batiks, by KRJ. Daud Wiryo Hadinagoro",".","300","2003-10-22","Indonesia"
"1643","First Lady Laura Bush","His Majesty Mohammed VI, King of Morocco.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Hardcover book: ‘‘The Hassan II Mosque,’’ edited by Daniel Briand",".","55","2003-11-17","Morocco"
"1644","First Lady Laura Bush","Her Majesty Queen Elizabeth II and His Royal Highness The Prince Phillip, Duke of Edinburgh.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Miscellaneous: 7″ 33⁄4″ Linley wooden jewelry box lined in blue suede with rosewood inlay of the Royal Cypher",".","523","2003-11-18","United Kingdom of Great Britain and Northern Ireland"
"1645","First Family, Bushes","His Excellency Badr Omar AlDafa, Ambassador of the State of Qatar.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Consumables: Dean DeLuca products",".","540","2003-01-02","Qatar"
"1646","First Family, Bushes","His Excellency Kofi A. Annan, Secretary General of the United Nations.","Non-acceptance would cause emd barrassment to donor and U.S. Government.","Box: 23⁄4″ 24K gold-plated ‘‘gold dust box,’’ with lid decorate with small birds",".","25","2003-01-24","na"
"1647","First Family, Bushes","His Excellency Roh Moo-hyun, NonPresident of the Republic of Korea and Mrs. Kwon Yang-suk.","acceptance would cause embarrassment to donor and U.S. Government.","Household items (2): pair of matching white porcelain lidded boxes with green glazed design",".","300","2003-05-14","South Korea"
"1648","First Family, Bushes","His Excellency The President of the Russian Federation and Mrs. Putina. .","Non-acceptance would cause embarrassment to donor and U.S. Government.","Tableware (10 sets): 2″ china cups and 53⁄4″ saucers commemorating the 300th anniversary of St. Petersburg, Russia, decorated with gold trim and hand painted scenes of the city",".","100","2003-05-28","Russia"
"1649","First Family, Bushes","His Excellency Vladimir Putin dged President of the Russian Federation. r","Non-acceptance would cause embarrassment to donor and U.S. Government.","Hardcover book: leatherbound volume with silver-e pages, in Russian, celebrating the 300th anniversary of St. Pe tersburg; held in blue leathe case",".","300","2003-05-28","Russia"
"1650","First Family, Bushes","His Royal Highness Abdallah bin Abd al-Aziz Al Saud, Crown Prince, First Deputy Prime Min ister and Commander of the National Guard of Saudi Arabia","Non-acceptance would cause embarrassment to donor and U.S. Government. .","Jewelry: Bvlgari white gold necklace, ring, and earring set of pearls and diamonds",".","850","2003-06-03","United Arab Emirates"
"1651","First Family, Bushes","His Royal Highness Abdallah bin Abd al-Aziz Al Saud, Crown Prince, First Deputy Prime Min ister and Commander of the National Guard of Saudi Arabia","Non-acceptance would cause embarrassment to donor and U.S. Government. .","Jewelry: Bvlgari white gold necklace, ring, and earring set of diamonds and black onyx",".","800","2003-06-03","United Arab Emirates"
"1652","First Family, Bushes","His Excellency The President of the Republic of Senegal and Mrs. Wade.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Artwork: 151⁄2″ metal sculpture of man and woman, with baby being held aloft in the palm of the man’s hand; held in brown tooled leather presentation case",".","187","2003-07-08","Senegal"
"1653","First Family, Bushes","His Excellency Oluseg Obasanjo, President of the Fed eral Republic of Nigeria.","un Non-acceptance would cause embarrassment to donor and U.S. Government.","Table linens: eight 15″ 17″ orange cloth napkins and matching 100″ 72″ orange, green and purple table cloth",".","150","2003-07-10","Niger"
"1654","First Family, Bushes","His Excellency Yoweri Kaguta Museveni President of the Republic of Uganda.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Artwork: 931⁄2″ 43″ oil painting of river valley in Uganda; held in 951⁄2″ 451⁄2″ wooden frame",".","820","2003-07-11","Uganda"
"1655","First Family, Bushes","Their Majesties Kind Abdullah II and Queen Rania al Abdullah of the Hashemite Kingdom of Jordan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Artwork (2): 111⁄4″ 11″ black and white watercolors of architectural details from the temples at Petra, by Anna Kudribshova; both are matted and held in 201⁄4″ 191⁄4″ silverand goldtone frames",".","150","2003-09-18","Jordan"
"1656","First Family, Bushes","His Excellency The President of the Republic of Kenya and Mrs. Lucy Kibaki. 6,","Non-acceptance would cause embarrassment to donor and U.S. Government.","Artwork: 36″ 24″ oil painting of three elephants; held in 443⁄4″ 321⁄2″ wooden frame with engraved presentation plaque on bottom",".","135","2003-10-01","Kenya"
"1657","First Family, Bushes","Her Excellency Gloria MacapagalArroyo, President of the Repub lic of the Philippines and Mr. Jose Miguel Arroyo.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household item: 28″ 36″ 19th century antique wooden chest of drawers with ebony and bone inlay and silver keyplates",".","250","2003-10-18","Philippines"
"1658","First Family, Bushes","His Excellency Thaks Shinawatra, Prime Minister of the Kingdom of Thailand.","in Non-acceptance would cause embarrassment to donor and U.S. Government.","Hardcover book: ‘‘APEC 2003 Commemorative BTS SkyTrain Tickets,’’ published by Bangkok Mass Transit System Public Company Limited; held in 10″ 101⁄2″ black lacquer case printed ‘‘The Royal Barge Procession.’’",".","80","2003-10-19","Thailand"
"1659","First Family, Bushes","Her Majest Queen Elizabeth II and His Royal Highness The Prince Phillip, Duke of Edinburgh.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Hardcover book: red leather bound, limited edition copy of ‘‘Royal Treasures: Golden Jubilee Celebration,’’ edited by Jane Roberts; held in 111⁄4″ 141⁄4″ red leather box imprinted with the Royal Cypher",".","120","2003-11-18","United Kingdom of Great Britain and Northern Ireland"
"1660","First Family, Bushes","Their Majesties King Abdullah II and Queen Rania al Abdullah of the Hashemite Kingdom of Jordan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Desk accessories: 51⁄2″ 51⁄2″ ivory stationery; held in 6″ 6″ sterling silver note pad hold er engraved with Arabic characters",".","350","2003-12-04","Jordan"
"1661","First Family, Bushes","His Excellency Zine El-Abidine Ben Ali, President of the Republic of Tunisia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Miscellaneous: 201⁄2″ 16″ white and brown leather chest with hinged lid; interior is padded and holds two-tiered leather lined wood tray",".","280","2003-12-18","Tunisia"
"1662","First Family, Bushes","His Excellency Lalit Mansingh, The Ambassador of India and Mrs. Mansingh.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Miscellaneous: 12″ 71⁄2″ silver peacock",".","500","2003-12-30","India"
"1663","Blakeman, Brad, Deputy Assistant to the President and Director of Appointments and Scheduling.","His Majesty King Abdullah II of the Hashemite Kingdom of Jordan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Desk accessory: Mont Blanc Meisterstuck Solitaire Doue Black Silver Fountain Pen",".","425","2003-06-04","Jordan"
"1664","Card, Andrew H., Jr., Assistant to the President and Chief of Staff.","His Majesty King Abdullah II of gin the Hashemite Kingdom of Jordan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Olive oil (4 bottles, 750ml each): ‘‘Jordan’s Treasure’’ extra vir olive oil with pourers held in custom wooden presentation cabinet with crest",".","202","2003-06-10","Jordan"
"1665","Card, Andrew H., Jr., Assistant to the President and Chief of Staff.","His Royal Highness Abdallah bin Abd al-Aziz Al Saud, Crown Prince, First Deputy Prime Minister and Commander of the National Guard of Saudi Arabia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Weapon: 13″ sheathed dagger in gold and silver inlaid design with ivory handle and gold chain for hanging on enclosed wooden display rack; held in green leather presentation box with crest on lid",".","150","2003-06-10","United Arab Emirates"
"1666","Card, Andrew H., Jr., Assistant to the President and Chief of Staff.","His Highness Sheikh Hamad bin Khalifa Al Thani Amir of the State of Qatar. nt","Non-acceptance would cause embarrassment to donor and U.S. Government.","Desk accessory: limited edition Mont Blanc ‘‘Marquise de Pompadour’’ fountain pen in cerami enamel with 18K gold trim and nib",".","490","2003-06-10","Qatar"
"1667","Card, Andrew H., Jr., Assistant to the President and Chief of Staff.","His Excellency Aleksande Kwasniewski, President of the rRepublic of Poland. nt","r Non-acceptance would cause embarrassment to donor and U.S. Government.","Desk accessory: 31⁄2″ 21⁄4″ amber mounted on an arched 6″ 21⁄2″ sterline silver pape weight etched with signature and state parliament building",".","600","2003-06-10","Poland"
"1668","Card, Andrew H., Jr., Assistant to the President and Chief of Staff.","His Excellency Vladimir Putin, President of the Russian Federation. ng","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household: porcelain tea service for two by Lomonosov, commemorating the 300th Anniversary of St. Petersburg, includi teapot, covered sugar bowl, two small cups with saucers and two cake plates hand decorated with gilt Greek key borders and floral design",".","535","2003-06-10","Russia"
"1669","Card, Andrew H., Jr., Assistant to the President and Chief of Staff.","e His Excellency Olusegun Obasanjo, President of the Fedngs, eral Republic of Nigeria. nt","Non-acceptance would cause embarrassment to donor and U.S. Government.","Artwork: 17″ 61⁄2″ 71⁄2″ bronz Benin sculpture of queen with headdress and neckri mounted on 4″ 8″ 5″ wooden base with plaque engraved ‘‘With Compliments of (donor)’’",".","350","2003-07-12","Niger"
"1670","Card, Andrew H., Jr., Assistant to the President and chief of Staff.","nHis Excellency Silvio Berlusconi, President of the Council of Ministers of the Italian Republic. ei","Non-acceptance would cause embarrassment to donor and U.S. Government.","Watch: Bvlgari ‘‘Rettangolo’’ stai less steel men’s wristwatch wit black face with automatic date inset at ‘6’ and back engraved with model, serial number and ‘‘Il Presidente del Consiglio Ministri’’",".","300","2003-07-21","Italy"
"1671","Gottesman, Blake, Personal Aide to the President.","His Excellency, Olusegun Obasanjo, President of the Federal Republic of Nigeria.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Clothing: lengths of batik cloth (122″ 50″ and (54″ 50″ for booboo robe in rust red, white and purple",".","275","2003-07-08","Niger"
"1672","Hadley, Stephen, Assistant to the President and Deputy National Security Advisor.","s Royal Highness, Abdallah bin Abd al-Aziz Al Saud, Crown Prince, First Deputy Prime Min ister and Commander of the National Guard of Saudi Arabia","Non-acceptance would cause embarrassment to donor and U.S. Government. .","Artwork: 19″ 29″ matted color Hi photograph of Arabian horse ‘‘BJ Thee Mustafa, Years Old’’, signed by photographer Gigi Grasso, and held in 291⁄2″ 391⁄2″ frame",".","250","2003-05-05","United Arab Emirates"
"1673","Hadley, Stephen, Assistant to the President and Deputy National Security Advisor.","His Royal Highness Crown Prince Vajiralongkorn Kingdom Thailand. nt","Non-acceptance would cause emof barrassment to donor and U.S. Government.","Desk accessory: 61⁄2″ 41⁄2″ ster ling silver box with burl wood lining and royal coat of arms lid with detailed design in pew ter",".","500","2003-06-13","Thailand"
"1674","Hagin, Joseph W., Assistant to the President and Deputy chief of Staff (Operations).","His Excellency, Oluseg Obasanjo, President of the Fed eral Republic of Nigeria. ple. nt","un Non-acceptance would cause embarrassment to donor and U.S. Government.","Clothing: lengths of batik cloth (122″ 50″) and (54″ 50″) fo booboo robe in orange, yellow, green, white and pur",".","275","2003-07-12","Niger"
"1675","Jenkins, Gregory, Deputy Assistant to the President and Director of Advance.","His Majesty, King Abdullah II of ue the Hashemite Kingdom of Jordan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Desk accessory: Mont Blanc Meisterstuck Solitair Do Black Silver Fountain Pen held in leather presentation box with crest on lid",".","370","2003-06-04","Jordan"
"1676","McClellan, Scott, Deputy Assistant to the President and Deputy White House Press Secretary.","His Excellency Olusegun Obasanjo, President of the Federal Republic of Nigeria.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Clothing: lengths of batik cloth (122″ 50″) and (54″ 50″) for booboo robe in red, black, white and purple",".","275","2003-07-11","Niger"
"1677","Rice, Condoleezza, Assistant to the President for National Security Affairs.","His Excellency Silvio Berlusconi, President of the Council of Ministers of the Italian Republic.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Jewelry: 5⁄8″ platinum Damiani oval shape band bracelet with 3.79 carats of diamonds set in chevron design",".","650","2003-01-30","Italy"
"1678","Rice, Condoleezza, Assistant to the President for National Security Affairs.","g His Excellency Lucio Guiterrez Borbua, President of the Republic of Ecuador.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Artwork: 231⁄2″ 311⁄2″ oil paintin of street scene on canvas, signed by artist I. Ihthsse.97",".","500","2003-02-10","Ecuador"
"1679","Rice, Condoleezza, Assistant to the President for National Security Affairs.","His Excellency George lias Papandreou, Minister of Foreign Affairs of the Hellenic Republic.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household: 51⁄4″ sterling silver vessel with handle, LaLaoUNIS design inspired from the Mycenaen period (1480BC)",".","250","2003-02-27","Greece"
"1680","Rice, Condoleezza, Assistant to the President for National Security Affairs.","His Excellency Marshall Mohammed Fahim Khan, Minister of Defense of the Islamic Transitional State of Afghanistan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Jewelry: 18K gold wide band ring with emerald surrounded by cubic zirconiums",".","100","2003-03-04","Afghanistan"
"1681","Rice, Condoleezza, Assistant to the President for National Security Affairs.","His Excellency Sodiq Safaev, d, Minister of Foreign Affairs of the Republic of Uzbekistan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Rug: 451⁄2″ 611⁄4″ hand knotted silk carpet, with pattern in re dark blue and ivory",".","140","2003-04-15","Uzbekistan"
"1682","Rice, Condoleezza, Assistant to the President for National Security Affairs.","His Excellency Ra Jong-Yil, Senior Advisor to the President fo National Security of the Republic of Korea.","Non-acceptance would cause emr barrassment to donor and U.S. Government.","Household item: silver serving set consisting of two round 2″ 2″ boxes with lids, two 1″ 4″ spoons and oval 65⁄8″ 35⁄8″ tray etched with gold duck design",".","500","2003-04-30","South Korea"
"1683","Rice, Condoleezza, Assistant to the President for National Security Affairs.","Lt. General Ehsan Ul Haq, Director General, Inter-Services Int ligence of the Islamic Republic of Pakistan. nt","Non-acceptance would cause emelbarrassment to donor and U.S. Government.","Jewelry set: earrings, necklace and ring of woven 21K gold wire inset with cubic zircons",".","750","2003-05-07","Pakistan"
"1684","Rice, Condoleezza, Assistant to the President for National Security Affairs.","Colonel General Rustam from Rasylevich Inoyatov, Chief of Intelligence of the Republic of Uzbekistan. of","Non-acceptance would cause embarrassment to donor and U.S. Government.","Coins: set of pure silver commemorative coins Uzbekistan presented in rosewood box with brass medallion of national crest inset on top box",".","350","2003-05-12","Uzbekistan"
"1685","Rice, Condoleezza, Assistant to the President for National Security Affairs.","General Sa’ad Kheir, Director of the General Intelligence Depart ment, Hashemite Kingdom of Jordan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Wall plaque: 11″ silver charger etched with colonnade of ruins with gold crown at the top of wide rim",".","500","2003-05-15","Jordan"
"1686","Rice, Condoleezza, Assistant to the President for National Security Affairs.","His Excellency Vladimir Putin, President of the Russian Federation. ng","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household: porcelain tea service for two by Lomonosov, commemorating the 300th Anniversary of St. Petersburg, includi teapot, covered sugar bowl, two small cups with saucers and two cake plates hand decorated with gilt Greek key borders and floral design",".","535","2003-05-31","Russia"
"1687","Rice, Condoleezza, Assistant to the President for National Security Affairs.","His Majesty King Abdullah II of gin the Hashemite Kingdom of Jordan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Olive oil (4 bottles, 750ml each): ‘‘Jordan’s Treasure’’ extra vir olive oil with pourers held in custom wooden presentation cabinet with crest",".","202","2003-06-04","Jordan"
"1688","Rice, Condoleezza, Assistant to the President for National Security Affairs.","His Highness Sheikh Hamad bin Khalifa Al Thani Amir of the State of Qatar.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Jewelry: 21⁄2″ platinum 16-petal flower of diamonds brooch with 1⁄2″ grey/white pearl center, designed by Stefan Hafner",".","155","2003-06-05","Qatar"
"1689","Rice, Condoleezza, Assistant to the President for National Security Affairs.","His Royal Highness Abdallah bin Abd al-Aziz Al Saud, Crown Prince, First Deputy Prime Minister and Commander of the National Guard of Saudi Arabia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Weapon: 13″ sheathed dagger in gold and silver inlaid design with ivory handle and gold chain for hanging on enclosed wooden display rack; held in green leather presentation box with crest on lid",".","150","2003-06-10","United Arab Emirates"
"1690","Rice, Condoleezza, Assistant to the President for National Security Affairs.","His Excellency Lal Krishna Advani, Deputy Prime Minister of the Republic of India.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Artwork: 53⁄8″ 91⁄4″ silver enameled peacock studded with semiprecious stones",".","250","2003-06-13","India"
"1691","Rice, Condoleezza, Assistant to the President for National Security Affairs.","His Excellency Amadou Toumani Toure, President of the Republic of Mali. .","Non-acceptance would cause embarrassment to donor and U.S. Government.","Artwork: Tuareg ornately tooled leather and silver (metal) hexagon shaped box, lined with maroon velvet, on leather pedestal with top nob in etched silver (metal) and mirror inside lid",".","295","2003-06-23","Mali"
"1692","Rice, Condoleezza, Assistant to the President for National Security Affairs.","Her Excellency Mireya Moscoso, President of the Republic of Panama.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Artwork: 61⁄2″ 3″ vermeil Holy Spirit Orchid, National Flower of Panama mounted on black velvet, double matted and held in 12″ 16″ shadow box",".","500","2003-06-24","Panama"
"1693","Rice, Condoleezza, Assistant to the President for National Security Affairs.","His Excellency Olusegun Obasanjo, President of the Feds, eral Republic of Nigeria.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Artwork: 17″ 61⁄2″ 71⁄2″ bronze Benin sculpture of queen with headdress and neckring mounted on 4″ 8″ 5″ wooden base with plaque engraved ‘‘With Compliments of (donor)’’",".","350","2003-07-08","Niger"
"1694","Rice, Condoleezza, Assistant to the President for National Security Affairs.","His Excellency Ra Jong-Yil, Senior Advisor to the President for National Security of the Republic of Korea.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household: 71⁄2″ 4″ silver Chilbo cloisonne vase with pastoral scene in pastel colors on truquoise background",".","500","2003-07-16","South Korea"
"1695","Rice, Condoleezza, Assistant to the President for National Security Affairs.","His Excellency Silvio Berlusconi, President of the Council of Ministers of the Italian Republic.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Jewelry: Damiani 18K gold and diamond (2.64 carats) ‘‘Snake’’ bracelet",".","750","2003-07-21","Italy"
"1696","Rice, Condoleezza, Assistant to the President for National Security Affairs.","His Excellency Ioan Talpes, Head No of the National Security Depart. ment and Chief of the Presidential Administration, Romania.","n-acceptance would cause embarrassment to donor and U.S. Government.","Hardcover antique book: 8″ 61⁄4″ 2″ leatherboun ‘‘Historiam Evangelii Renovati . Monumenta . .’’, by Daniele Gerdesio, in Latin from 1744",".","180","2003-07-28","Oman"
"1697","Rice, Condoleezza, Assistant to the President for National Security Affairs.","The Honorable Chen Yunlin, Director, Taiwan Affairs Office cuChinese Communist Party and State Council. x","Non-acceptance would cause embarrassment to donor and U.S. Government.","Artwork: 8″ 65⁄8″ 4″ carved light green jade figural consisting of large fruit and reti lated monkey with separate dark green round 81⁄2″ 31⁄2″ 47⁄8″ jade stone base",".","500","2003-08-19","Republic of China"
